x-axis,1,2,3
second,Volt,Volt,Volt
-3.82000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-3.80000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-3.78000E-03,+28.64996E-03,-21.87500E-03,+1.56250E-03
-3.76000E-03,+28.64996E-03,-6.25000E-03,+1.56250E-03
-3.74000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.72000E-03,+22.39996E-03,-21.87500E-03,+4.68750E-03
-3.70000E-03,+16.14996E-03,+9.37500E-03,+4.68750E-03
-3.68000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-3.66000E-03,+28.64996E-03,+9.37500E-03,+1.56250E-03
-3.64000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-3.62000E-03,+16.14996E-03,-21.87500E-03,+3.12500E-03
-3.60000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.58000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-3.56000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.54000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-3.52000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.50000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.48000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.46000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-3.44000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.42000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-3.40000E-03,+16.14996E-03,-6.25000E-03,+6.25000E-03
-3.38000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-3.36000E-03,+28.64996E-03,-21.87500E-03,+4.68750E-03
-3.34000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-3.32000E-03,+34.89996E-03,-6.25000E-03,+6.25000E-03
-3.30000E-03,+34.89996E-03,-6.25000E-03,+4.68750E-03
-3.28000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-3.26000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-3.24000E-03,+16.14996E-03,+9.37500E-03,+4.68750E-03
-3.22000E-03,+22.39996E-03,-6.25000E-03,+6.25000E-03
-3.20000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-3.18000E-03,+28.64996E-03,+9.37500E-03,+6.25000E-03
-3.16000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-3.14000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-3.12000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-3.10000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.08000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-3.06000E-03,+28.64996E-03,-21.87500E-03,+3.12500E-03
-3.04000E-03,+22.39996E-03,+9.37500E-03,+3.12500E-03
-3.02000E-03,+28.64996E-03,-6.25000E-03,+6.25000E-03
-3.00000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-2.98000E-03,+22.39996E-03,-6.25000E-03,+4.68750E-03
-2.96000E-03,+22.39996E-03,-21.87500E-03,+3.12500E-03
-2.94000E-03,+16.14996E-03,-6.25000E-03,+4.68750E-03
-2.92000E-03,+28.64996E-03,-6.25000E-03,+3.12500E-03
-2.90000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-2.88000E-03,+28.64996E-03,+9.37500E-03,+4.68750E-03
-2.86000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
-2.84000E-03,+28.64996E-03,-21.87500E-03,+6.25000E-03
-2.82000E-03,+22.39996E-03,-6.25000E-03,+3.12500E-03
-2.80000E-03,+28.64996E-03,-6.25000E-03,+4.68750E-03
-2.78000E-03,+34.89996E-03,-6.25000E-03,+1.56250E-03
-2.76000E-03,+28.64996E-03,+9.37500E-03,+6.25000E-03
-2.74000E-03,+22.39996E-03,+9.37500E-03,+4.68750E-03
