U_B / V	U_A / V	S_1
21.20	2.58	1
21.35	2.43	1
21.50	2.25	1
21.65	1.98	1
21.80	1.70	1
21.90	1.47	1
22.05	1.19	1
22.20	0.98	1
22.35	0.77	1
22.50	0.63	1
22.65	0.49	1
22.80	0.39	1
22.95	0.32	1
23.10	0.29	1
23.20	0.28	1
23.35	0.30	1
23.50	0.35	1
23.60	0.42	1
23.80	0.53	1
23.90	0.65	1
24.05	0.81	1
24.20	0.97	1
24.35	1.19	1
24.50	1.44	1
24.65	1.65	1
24.80	1.95	1
24.95	2.19	1
25.10	2.53	1
25.20	2.90	1
25.35	3.24	1
25.50	3.65	1
25.65	3.96	1
25.80	4.26	1
25.90	4.39	1
26.10	4.37	1
26.25	4.18	1
26.35	3.87	1
26.50	3.50	1
26.65	3.16	1
26.80	2.75	1
26.95	2.33	1
27.10	1.98	1
27.25	1.60	1
27.35	1.32	1
27.50	1.05	1
27.65	0.87	1
27.80	0.71	1
27.95	0.62	1
28.05	0.59	1
28.25	0.59	1
28.35	0.63	1
28.50	0.71	1
28.65	0.86	1
28.75	1.02	1
28.90	1.24	1
29.05	1.47	1
29.20	1.77	1
29.35	2.13	1
29.50	2.45	1
29.65	2.87	1
29.70	3.11	1
29.70	3.10	1
29.70	3.10	1
29.70	3.10	1
29.70	3.10	1
29.70	3.09	1
29.70	3.10	1
29.70	3.07	1
29.70	3.08	1
29.70	3.07	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.09	1
29.70	3.10	1
29.70	3.09	1
29.70	3.10	1
29.70	3.09	1
29.70	3.09	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.08	1
29.70	3.09	1
29.70	3.08	1
29.70	3.09	1
29.70	3.08	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.07	1
29.70	3.08	1
29.70	3.07	1
29.70	3.09	1
29.70	3.08	1
29.70	3.09	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.05	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.07	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.05	1
29.70	3.05	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.05	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.06	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.05	1
29.70	3.05	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.06	1
29.75	3.06	1
29.70	3.06	1
29.70	3.07	1
29.75	3.07	1
29.75	3.06	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.05	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.07	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.05	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.08	1
29.70	3.07	1
29.70	3.08	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.08	1
29.70	3.08	1
29.70	3.07	1
29.70	3.09	1
29.70	3.06	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.06	1
29.70	3.05	1
29.70	3.06	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.07	1
29.70	3.08	1
29.70	3.07	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.08	1
29.70	3.09	1
29.70	3.08	1
29.70	3.10	1
29.70	3.06	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.09	1
29.70	3.10	1
29.70	3.09	1
29.70	3.10	1
29.70	3.09	1
29.70	3.10	1
29.70	3.09	1
29.70	3.10	1
29.70	3.10	1
29.70	3.10	1
29.70	3.10	1
